Month,Symbol,Close,Volume,Date,
09/2020,DTE,100.25,1063375,01/09/2020,
10/2020,DTE,96.54,1460173,01/10/2020,
11/2020,DTE,106.98,1054563,02/11/2020,
12/2020,DTE,107.44,1370285,01/12/2020,
01/2020,DUK,90.34,3921800,02/01/2020,
02/2020,DUK,97.67,2666200,03/02/2020,
03/2020,DUK,96.67,6803600,02/03/2020,
04/2020,DUK,77.57,4600700,01/04/2020,
05/2020,DUK,82.64,3036700,01/05/2020,
06/2020,DUK,87.44,2438800,01/06/2020,
07/2020,DUK,81.93,2835800,01/07/2020,
08/2020,DUK,83.81,2552200,03/08/2020,
09/2020,DUK,79.21,3194100,01/09/2020,
10/2020,DUK,90.05,6249600,01/10/2020,
11/2020,DUK,93.82,2929900,02/11/2020,
12/2020,DUK,93.26,2947300,01/12/2020,
01/2020,DRE,34.37,3052400,02/01/2020,
02/2020,DRE,36.31,2787900,03/02/2020,
03/2020,DRE,33.9,4391000,02/03/2020,
04/2020,DRE,30.18,2882800,01/04/2020,
05/2020,DRE,33.3,2973500,01/05/2020,
06/2020,DRE,35.2,2063200,01/06/2020,
07/2020,DRE,36.12,2539100,01/07/2020,
08/2020,DRE,39.67,1804800,03/08/2020,
09/2020,DRE,38.56,1277900,01/09/2020,
10/2020,DRE,37.49,2141400,01/10/2020,
11/2020,DRE,39.04,2229200,02/11/2020,
12/2020,DRE,38.6,2054500,01/12/2020,
01/2020,DD,63.5,5967300,02/01/2020,
02/2020,DD,51.81,11306100,03/02/2020,
03/2020,DD,44.95,9803300,02/03/2020,
04/2020,DD,32.52,7712600,01/04/2020,
05/2020,DD,45.07,4583100,01/05/2020,
06/2020,DD,50.88,5492800,01/06/2020,
07/2020,DD,52.32,4538000,01/07/2020,
08/2020,DD,52.46,4768500,03/08/2020,
09/2020,DD,57.26,4524000,01/09/2020,
10/2020,DD,54.53,4579500,01/10/2020,
11/2020,DD,58.8,4526800,02/11/2020,
12/2020,DD,63.53,4505200,01/12/2020,
01/2020,DXC,36.76,2930700,02/01/2020,
02/2020,DXC,32.17,2690500,03/02/2020,
03/2020,DXC,23.73,5228000,02/03/2020,
04/2020,DXC,11.96,5224300,01/04/2020,
05/2020,DXC,16.79,2313600,01/05/2020,
06/2020,DXC,14.76,9541400,01/06/2020,
07/2020,DXC,16.14,12751600,01/07/2020,
08/2020,DXC,18.15,12474000,03/08/2020,
09/2020,DXC,20.04,1992500,01/09/2020,
10/2020,DXC,18.81,2817700,01/10/2020,
11/2020,DXC,18.96,2602200,02/11/2020,
12/2020,DXC,22.14,2371000,01/12/2020,
01/2020,EMN,78.67,1187000,02/01/2020,
02/2020,EMN,72.2,1431000,03/02/2020,
03/2020,EMN,62.93,2238700,02/03/2020,
04/2020,EMN,45.51,1842900,01/04/2020,
05/2020,EMN,60.02,2101300,01/05/2020,
06/2020,EMN,68.56,705000,01/06/2020,
07/2020,EMN,68.7,1356700,01/07/2020,
08/2020,EMN,75.17,1032200,03/08/2020,
09/2020,EMN,76.61,1228500,01/09/2020,
10/2020,EMN,76.31,893400,01/10/2020,
11/2020,EMN,83.32,934300,02/11/2020,
12/2020,EMN,98.78,707700,01/12/2020,
01/2020,ETN,95.87,2380800,02/01/2020,
02/2020,ETN,95.49,2745100,03/02/2020,
03/2020,ETN,95.68,5188800,02/03/2020,
04/2020,ETN,73.14,3769700,01/04/2020,
05/2020,ETN,82.07,2505800,01/05/2020,
06/2020,ETN,84.66,1584000,01/06/2020,
07/2020,ETN,87.1,2183200,01/07/2020,
08/2020,ETN,94.87,1278500,03/08/2020,
09/2020,ETN,103.43,1256900,01/09/2020,
10/2020,ETN,100.59,1355800,01/10/2020,
11/2020,ETN,107.34,2226900,02/11/2020,
12/2020,ETN,120.7,2483200,01/12/2020,
01/2020,EBAY,36.3,4979300,02/01/2020,
02/2020,EBAY,34.39,14939600,03/02/2020,
03/2020,EBAY,35.96,13131000,02/03/2020,
04/2020,EBAY,28.78,14341500,01/04/2020,
05/2020,EBAY,39.25,13894700,01/05/2020,
06/2020,EBAY,45.2,8931500,01/06/2020,
07/2020,EBAY,52.96,12879800,01/07/2020,
08/2020,EBAY,56.57,8830300,03/08/2020,
09/2020,EBAY,53.65,10121800,01/09/2020,
10/2020,EBAY,52.38,6659600,01/10/2020,
11/2020,EBAY,47.87,10765800,02/11/2020,
12/2020,EBAY,50.52,7160300,01/12/2020,
01/2020,ECL,190.23,1590500,02/01/2020,
02/2020,ECL,201.53,1612700,03/02/2020,
03/2020,ECL,191.22,1778700,02/03/2020,
04/2020,ECL,146.7,2659600,01/04/2020,
05/2020,ECL,190,1356600,01/05/2020,
06/2020,ECL,209.05,24301200,01/06/2020,
07/2020,ECL,200.24,1470200,01/07/2020,
08/2020,ECL,184.41,1586800,03/08/2020,
09/2020,ECL,201.66,1124900,01/09/2020,
10/2020,ECL,197.08,1192800,01/10/2020,
11/2020,ECL,188.85,941500,02/11/2020,
12/2020,ECL,224.02,997000,01/12/2020,
01/2020,EIX,74.38,2632200,02/01/2020,
02/2020,EIX,77.66,1315400,03/02/2020,
03/2020,EIX,70.44,3847800,02/03/2020,
04/2020,EIX,51.27,2219800,01/04/2020,
05/2020,EIX,55.69,2563800,01/05/2020,
06/2020,EIX,59.25,2600700,01/06/2020,
07/2020,EIX,55.33,2391200,01/07/2020,
08/2020,EIX,53.93,2735400,03/08/2020,
09/2020,EIX,51.81,1682200,01/09/2020,
10/2020,EIX,50.44,2263000,01/10/2020,
11/2020,EIX,57.55,1271200,02/11/2020,
