,Apple,AMD,Amazon,Cisco,Meta,Microsoft,Starbucks,Tesla,Qualcomm
09-Aug,146.09,107.58,3341.87,55.47,361.61,288.33,117.94,713.76,146.92
10-Aug,145.60,106.48,3320.68,55.61,361.13,286.44,116.39,709.99,145.87
11-Aug,145.86,107.68,3292.11,55.86,359.96,286.95,116.50,707.82,146.68
12-Aug,148.89,106.50,3303.50,56.39,362.65,289.81,115.75,722.25,147.15
13-Aug,149.10,110.55,3293.97,56.47,363.18,292.85,116.76,717.17,148.64
16-Aug,151.12,107.48,3298.99,56.28,366.56,294.60,117.54,686.17,148.13
17-Aug,150.19,107.56,3241.96,56.01,358.45,293.08,116.57,665.71,144.41
18-Aug,146.36,103.44,3201.22,55.15,355.45,290.73,115.68,688.99,142.18
19-Aug,146.70,103.70,3187.75,57.27,355.12,296.77,114.32,673.47,140.61
20-Aug,148.19,104.65,3199.95,58.22,359.37,304.36,114.63,680.26,142.09
23-Aug,149.71,108.77,3265.87,58.54,363.35,304.65,115.15,706.30,144.14
24-Aug,149.62,107.65,3305.78,59.32,365.51,302.62,115.08,708.49,144.46
25-Aug,148.36,108.30,3299.18,59.35,368.39,302.01,115.57,711.20,143.87
26-Aug,147.54,107.27,3316.00,59.20,364.38,299.09,114.32,701.16,142.38
27-Aug,148.60,111.40,3349.63,59.02,372.63,299.72,115.12,711.92,144.85
30-Aug,153.12,111.32,3421.57,59.13,380.66,303.59,115.61,730.91,145.94
31-Aug,151.83,110.72,3470.79,59.02,379.38,301.88,117.49,735.72,146.69
01-Sep,152.51,109.99,3479.00,59.04,382.05,301.83,117.45,734.09,146.45
02-Sep,153.65,109.20,3463.12,59.53,375.28,301.15,117.37,732.39,145.12
03-Sep,154.30,109.92,3478.05,59.42,376.26,301.14,117.19,733.57,144.63
07-Sep,156.69,109.15,3509.29,58.88,382.18,300.18,115.79,752.92,143.75
08-Sep,155.11,106.17,3525.50,58.68,377.57,300.21,118.04,753.87,142.52
09-Sep,154.07,106.15,3484.16,58.60,378.00,297.25,118.79,754.86,141.58
10-Sep,148.97,105.20,3469.15,57.89,378.69,295.71,119.34,736.27,142.68
13-Sep,149.55,104.80,3457.17,58.10,376.51,296.99,119.18,743.00,143.41
14-Sep,148.12,105.73,3450.00,57.87,376.53,299.79,118.86,744.49,141.14
15-Sep,149.03,105.60,3475.79,57.56,373.92,304.82,114.64,755.83,138.24
16-Sep,148.79,106.22,3488.24,57.33,373.06,305.22,114.67,756.99,138.40
17-Sep,146.06,103.88,3462.52,56.85,364.72,299.87,113.41,759.49,133.60
20-Sep,142.94,101.55,3355.73,55.89,355.70,294.30,111.82,730.17,132.76
21-Sep,143.43,102.82,3343.63,55.26,357.48,294.80,112.22,739.38,131.75
22-Sep,145.85,104.38,3380.05,55.52,343.21,298.58,113.07,751.94,133.01
23-Sep,146.83,106.15,3416.00,56.69,345.96,299.56,114.14,753.64,133.91
24-Sep,146.92,105.80,3425.52,56.73,352.96,299.35,114.11,774.39,133.88
27-Sep,145.37,108.16,3405.80,56.22,353.58,294.17,113.68,791.36,133.48
28-Sep,141.91,101.52,3315.96,55.52,340.65,283.52,111.71,777.56,129.90
29-Sep,142.83,100.35,3301.12,55.48,339.61,284.00,112.17,781.31,129.28
30-Sep,141.50,102.90,3285.04,54.43,339.39,281.92,110.31,775.48,128.98
01-Oct,142.65,102.45,3283.26,55.14,343.01,289.10,112.92,775.22,128.71
04-Oct,139.14,100.34,3189.78,54.23,326.23,283.11,111.46,781.53,126.68
05-Oct,141.11,101.81,3221.00,54.69,332.96,288.76,110.85,780.59,127.53
